42,35,7,33,31,6,41,64,36,40,39,59,28,62,29,54,73,18,2,34,37,16,53,38,20,58,9,13,1,32,12,24,17,10,19,14,15,55,25,78,30,27,22,26,11,23,74,0,61,21,3,5,8,72,52,49,4,76,57,75,66,50,51,67,63,85,77,43,60,44,70,71,45,83,87,84,79,46,68,47,82,81,56,65,86,48,69,80,88
116,67,64,61,47,46,44,42,38,37,36,35,34,34,34,33,32,29,28,27,27,27,27,27,26,26,26,25,24,23,22,21,21,21,21,21,21,20,20,20,20,19,19,19,18,18,17,17,17,16,16,16,15,15,14,13,13,13,13,13,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,2
176,115,222,85,196,240,37,78,10,192,27,187,251,252,148,35,180,153,65,86,117,58,131,123,236,38,340,40,102,20,64,398,77,134,57,155,116,138,119,189,126,201,196,140,47,100,80,88,88,232,291,291,95,0,105,73,138,58,120,75,115,125,108,74,62,29,81,61,26,100,20,87,83,68,42,8,21,59,66,81,45,45,61,110,46,107,51,28,
144,115,232,101,135,82,90,34,146,145,53,0,148,200,148,28,58,220,44,72,162,0,143,186,208,59,81,45,97,20,60,212,64,65,121,63,42,50,141,32,88,145,0,82,95,344,42,72,120,300,70,70,130,22,57,170,178,0,156,32,42,216,237,36,93,72,129,163,93,181,126,141,167,21,120,39,161,184,57,123,127,137,287,78,23,316,99,53,0
453,337,43,579,101,31,0,238,137,208,86,337,438,85,341,278,160,121,107,129,97,80,88,38,70,156,122,105,54,77,67,48,93,163,84,87,57,47,37,153,67,40,67,51,91,67,42,57,157,50,50,93,56,133,68,93,45,59,110,17,74,52,99,46,107,39,71,57,54,29,40,39,62,98,17,48,112,60,57,83,108,55,93,107,24,31,18,82,
1832,0,0,1887,1901,0,1904,0,0,302,0,0,0,0,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
382,399,0,550,203,41,26,309,121,184,214,517,493,29,107,282,116,84,125,50,0,77,110,21,85,123,119,150,97,37,46,48,123,131,84,97,50,97,19,120,49,43,41,31,119,67,47,70,50,11,80,110,110,170,73,26,62,177,31,19,104,128,37,93,39,80,91,111,49,40,30,56,104,30,96,107,60,31,78,106,88,113,59,22,31,0,72,0,
258,266,0,413,161,0,0,212,0,129,116,356,329,0,149,150,15,0,0,0,0,0,81,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,27,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
126,359,18,565,969,40,93,261,102,440,74,404,526,48,673,373,102,96,72,20,17,21,78,38,41,55,16,64,43,352,46,179,57,64,83,66,36,19,46,50,802,20,36,93,54,55,88,290,50,32,80,16,24,99,92,52,62,0,74,0,38,50,78,30,53,42,13,72,23,54,19,29,19,19,21,94,30,38,31,38,46,33,57,9,20,0,43,0,
168,422,18,533,992,40,62,133,102,276,87,398,531,48,843,275,75,128,101,20,102,21,159,38,41,100,33,64,43,355,46,114,57,64,57,66,36,19,56,50,803,30,36,93,80,64,62,230,50,32,80,16,24,152,66,52,62,0,74,0,38,50,78,30,53,31,13,72,23,37,0,19,29,19,19,21,68,30,38,31,38,72,33,57,9,20,43,0,
226,26,55,68,324,52,18,38,38,477,13,148,136,43,18,1183,8,35,6,12,8,13,16,0,0,36,0,28,0,21,52,61,50,3,121,49,9,12,52,0,85,44,29,46,123,102,15,53,15,18,44,4,25,88,68,160,6,0,562,0,27,71,59,83,23,8,0,0,43,3,0,41,8,8,71,8,62,21,0,55,96,80,70,0,0,0,26,0,
