33,28,40,35,13,51,12,59,54,66,81,73,53,14,31,72,63,67,52,24,4,0,29,65,41,2,23,79,26,82,17,18,19,62,27,34,87,55,30,25,7,1,49,80,5,9,10,36,8,32,78,68,83,47,57,58,21,50,22,84,3,6,46,11,45,69,71,70,74,77,75,88,86,85,76,64,48,61,37,20,16,15,38,39,60,56,44,42,43
255,125,97,89,64,57,46,44,40,38,38,38,37,35,33,32,32,30,29,29,28,28,27,27,26,24,24,24,21,21,21,21,21,20,20,20,19,19,19,18,18,17,17,17,16,16,15,15,13,13,13,12,11,11,11,11,11,10,10,10,10,10,10,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,329,328,327,310,255,245,232,199,116,102,102,94,83,82,81,78,78,72,69,66,65,64,64,62,62,61,57,55,55,54,52,50,50,50,48,48,46,43,43,41,40,38,38,38,38,38,36,33,33,32,32,32,31,30,30,28,27,26,26,25,24,23,21,21,20,20,20,20,20,19,19,19,19,19,18,17,17,16,16,13,10,9,0,0,0,0,0,0
969,802,673,565,526,440,404,373,359,352,290,261,179,126,102,102,99,96,94,93,93,92,88,83,80,78,78,74,74,72,72,66,64,64,62,57,57,55,55,54,54,53,52,50,50,50,48,46,46,46,43,43,42,41,40,38,38,38,38,36,36,33,32,31,30,30,29,24,23,21,21,20,20,20,19,19,19,19,18,17,16,16,13,9,0,0,0,0,0
