6,28,52,29,7,66,20,30,40,14,47,34,76,27,65,58,41,21,3,38,50,87,42,1,39,25,0,18,11,2,17,15,37,49,78,82,24,13,16,45,23,5,4,53,60,51,8,55,79,68,86,77,67,48,57,69,81,43,9,71,72,70,64,62,63,73,74,85,88,84,83,75,80,61,59,26,31,22,19,10,12,32,33,54,56,46,44,35,36
206,162,105,81,80,52,50,50,44,42,42,41,41,40,40,38,37,37,36,36,35,34,32,28,27,27,27,26,25,24,22,21,20,20,20,19,19,18,17,17,16,16,15,14,13,13,13,12,11,11,10,10,10,10,10,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,251,240,222,208,187,157,148,140,140,136,135,121,119,115,105,105,100,98,92,85,84,84,80,77,74,74,68,68,67,64,61,61,60,59,58,58,57,54,54,54,52,51,50,49,48,47,46,46,46,44,44,44,43,42,42,41,38,38,37,36,35,34,32,30,30,27,27,26,24,24,21,20,20,18,18,16,13,11,10,8,8,0,0,0,0,0,0,0
398,340,291,291,252,251,240,236,232,222,201,196,196,192,189,187,180,176,155,153,148,140,138,138,134,131,126,125,123,120,119,117,116,115,115,110,108,107,105,102,100,100,95,88,88,87,86,85,83,81,81,80,78,77,75,74,73,68,66,65,64,62,61,61,59,58,58,57,51,47,46,45,45,42,40,38,37,35,29,28,27,26,21,20,20,10,8,0,0
