42,40,35,11,64,2,10,78,34,16,72,33,12,7,39,36,27,25,30,43,37,51,5,77,14,61,66,3,23,6,46,26,15,17,67,1,71,84,68,59,58,52,86,62,18,56,57,8,21,48,47,80,24,20,85,19,87,9,49,73,70,63,69,74,65,79,75,83,88,82,81,76,60,50,55,28,29,22,13,0,4,31,32,53,54,45,44,38,41
192,116,112,83,68,58,58,54,52,50,50,47,46,43,42,41,40,37,37,36,36,35,33,28,27,26,26,26,24,22,22,21,21,21,21,20,19,19,19,17,15,13,13,13,12,11,11,11,11,10,10,10,10,10,10,9,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,378,302,198,185,165,146,132,129,107,99,96,94,94,90,88,86,85,83,78,76,74,73,71,71,69,69,67,67,67,66,65,59,58,52,52,51,50,49,46,46,45,45,45,44,43,42,42,42,41,41,40,39,38,37,37,36,36,35,34,34,33,33,33,32,31,31,30,29,29,29,27,26,23,22,21,21,21,20,19,19,19,18,17,13,8,0,0,0
579,453,438,341,337,337,278,238,208,163,160,157,156,153,137,133,129,122,121,112,110,108,107,107,107,105,101,99,98,97,93,93,93,93,91,88,87,86,85,84,83,82,80,77,74,71,70,68,67,67,67,67,62,60,59,57,57,57,57,56,55,54,54,52,51,50,50,48,48,47,46,45,43,42,40,40,39,39,38,37,31,31,29,24,18,17,17,0,0
