7,29,62,48,30,45,56,63,42,5,80,25,11,40,24,10,53,41,21,38,4,31,35,85,68,51,26,39,46,0,67,70,27,14,37,19,69,18,1,3,23,84,75,57,81,44,72,65,64,71,66,61,60,54,55,58,59,74,73,86,87,88,83,82,76,77,78,79,52,50,13,15,16,12,9,2,6,8,17,20,43,47,49,36,34,22,28,32,33
188,114,99,95,88,81,76,66,64,55,53,48,46,44,40,40,39,37,37,36,36,34,34,33,31,31,29,27,27,27,27,22,21,21,20,20,19,19,17,16,16,13,13,11,11,10,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,242,208,188,170,153,148,148,139,135,129,126,126,125,122,116,116,115,112,108,106,102,102,98,94,92,88,86,81,81,79,73,70,70,66,65,64,63,56,55,53,53,53,52,50,49,48,48,47,46,44,42,42,41,41,37,37,33,33,31,31,28,27,27,24,23,22,22,21,21,20,18,17,13,11,11,9,9,8,8,0,0,0,0,0,0,0,0,0
344,316,300,287,237,232,220,216,212,208,200,186,184,181,178,170,167,163,162,161,156,148,148,146,145,145,144,143,141,141,137,135,130,129,127,126,123,121,120,120,115,101,99,97,95,93,93,90,88,82,82,81,78,72,72,72,70,70,65,64,63,60,59,58,57,57,53,53,50,45,44,42,42,42,39,36,34,32,32,28,23,22,21,20,0,0,0,0,0
