33,59,28,35,42,64,54,39,31,40,57,52,13,10,51,2,58,17,36,78,11,9,73,56,60,8,53,72,79,29,82,83,50,55,1,14,84,63,43,81,20,18,19,3,77,47,16,49,80,0,23,76,46,65,45,34,61,15,44,30,24,74,12,27,6,22,70,85,67,32,75,48,68,26,71,87,62,4,41,86,38,66,25,21,88,69,37,7,5
255,103,91,76,69,67,64,61,56,55,52,50,49,48,48,45,45,44,36,34,34,32,30,26,25,24,23,22,22,21,21,21,21,20,20,20,19,18,18,17,16,16,16,14,13,13,11,10,10,10,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,348,288,261,231,207,177,153,141,119,114,110,110,107,107,94,86,85,78,77,77,74,73,72,72,72,71,70,67,67,67,65,64,63,63,63,62,59,57,54,52,52,50,50,48,43,43,41,40,40,37,37,36,35,32,30,29,28,23,22,22,21,21,21,21,21,19,19,19,19,18,16,15,15,12,11,11,10,0,0,0,0,0,0,0,0,0,0,0
550,517,493,399,382,309,282,214,203,184,177,170,150,131,128,125,123,123,121,120,119,119,116,113,111,110,110,110,107,107,106,104,104,97,97,97,96,93,91,88,85,84,84,80,80,78,77,73,72,70,67,62,60,59,56,50,50,50,49,49,48,47,46,43,41,41,40,39,37,37,31,31,31,31,30,30,29,26,26,22,21,19,19,11,0,0,0,0,0
