35,33,28,53,81,54,13,4,17,73,12,59,20,64,22,31,63,67,3,52,24,72,65,10,2,79,23,18,26,19,82,34,27,11,30,55,25,7,49,9,1,5,61,36,50,8,78,47,57,21,58,46,56,51,84,48,6,87,0,71,74,70,69,66,68,75,76,86,88,85,83,77,80,62,60,32,37,29,16,14,15,38,39,44,45,43,42,40,41
224,139,125,82,72,68,64,62,57,52,46,44,41,36,36,33,32,30,30,29,29,27,27,26,24,24,24,21,21,21,21,20,20,19,19,19,18,18,17,17,17,16,16,15,13,13,13,11,11,11,11,10,10,10,10,10,9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,451,335,328,293,213,193,149,117,109,99,93,83,80,79,78,78,77,76,75,75,72,68,66,66,64,64,62,62,61,57,57,57,55,53,53,50,50,50,46,43,43,43,42,41,41,40,40,38,38,38,38,36,36,33,33,32,31,30,30,28,27,26,24,23,21,21,20,20,20,20,20,19,19,19,18,17,16,13,11,10,9,8,0,0,0,0,0,0
992,843,803,533,531,422,398,355,276,275,230,168,159,152,133,128,114,102,102,101,100,93,87,80,80,78,75,74,72,72,68,66,66,64,64,64,62,62,62,57,57,57,56,53,52,50,50,50,48,46,43,43,41,40,38,38,38,38,37,36,36,33,33,32,31,31,30,30,30,29,24,23,21,21,20,20,19,19,19,19,18,16,13,9,0,0,0,0,0
