"time","item","user"
122880,10, 1
122784,5, 1
122688,9, 1
122592,5, 1
122304,5, 1
122112,5, 1
122016,3, 1
121920,3, 1
121344,3, 1
121248,5, 1
121152,7, 1
120576,0, 1
120480,10, 1
120384,10, 1
120384,5, 3
119808,10, 1
119712,5, 1
119616,9, 1
119616,10, 3
119424,0, 3
119328,2, 3
119232,5, 1
119136,0, 3
119040,5, 1
118944,3, 1
118848,3, 1
118848,10, 3
118272,3, 1
118272,10, 3
118176,2, 1
118176,0, 3
118080,2, 1
117984,5, 3
117888,7, 3
117696,5, 3
117600,2, 3
117504,0, 1
117408,10, 1
117408,5, 3
117312,10, 1
117312,2, 3
117120,5, 3
117024,2, 3
116832,5, 3
116736,10, 1
116736,2, 3
116640,5, 1
116544,9, 1
116448,5, 1
116160,5, 1
115968,5, 1
115872,3, 1
115776,3, 1
115200,3, 1
115104,5, 1
115008,7, 1
114432,0, 1
114336,10, 1
114240,10, 1
113856,10, 3
113664,10, 1
113664,0, 3
113568,5, 1
113472,9, 1
113376,5, 1
113280,2, 3
113088,5, 1
112896,5, 1
112896,3, 3
112800,3, 1
112800,5, 3
112704,3, 1
112128,3, 1
112032,2, 1
111936,2, 1
111552,0, 1
111360,0, 1
111264,10, 1
111168,10, 1
110592,10, 1
110496,5, 1
110496,10, 3
110400,9, 1
110400,0, 3
110304,5, 1
110208,0, 3
110016,5, 1
110016,10, 3
109824,5, 1
109824,9, 3
109728,3, 1
109632,3, 1
109632,10, 3
109056,3, 1
108960,5, 1
108864,7, 1
108288,0, 1
108192,10, 1
108096,10, 1
108096,5, 3
107520,10, 1
107424,5, 1
107424,10, 3
107328,9, 1
107328,0, 3
107136,0, 3
106944,5, 1
106944,10, 3
106752,5, 1
106752,9, 3
106656,3, 1
106560,3, 1
106560,10, 3
105984,3, 1
105984,10, 3
105888,2, 1
105792,2, 1
105792,0, 3
105600,0, 3
105408,2, 3
105216,0, 1
105216,5, 3
105120,10, 1
105024,10, 1
105024,7, 3
104928,2, 3
104736,5, 3
104640,2, 3
104448,10, 1
104448,5, 3
104352,5, 1
104352,2, 3
104256,9, 1
104256,5, 3
104160,5, 1
103872,5, 1
103680,5, 1
103584,3, 1
103488,3, 1
102912,3, 1
102816,5, 1
102720,7, 1
102144,0, 1
102048,10, 1
101952,10, 1
101376,10, 1
101376,5, 3
101280,5, 1
101184,9, 1
101184,7, 3
101088,5, 1
100800,5, 1
100800,10, 3
100608,5, 1
100608,10, 3
100512,3, 1
100416,3, 1
100416,10, 3
100128,10, 3
100032,2, 3
99840,3, 1
99744,2, 1
99744,3, 3
99648,2, 1
99168,2, 3
99072,0, 1
98976,0, 3
98880,10, 1
98880,10, 3
98688,0, 3
98496,2, 3
98304,10, 1
98304,5, 3
98112,5, 3
97544,5, 3
96768,5, 1
96576,0, 1
96296,0, 3
96192,5, 1
96192,10, 3
96004,0, 3
96000,5, 1
95904,5, 1
95824,2, 3
95644,2, 3
95436,2, 3
95232,5, 1
94656,5, 1
94464,5, 1
94452,5, 3
94368,5, 1
94364,7, 3
94272,5, 3
93712,7, 3
93696,5, 1
93120,5, 1
92928,5, 1
92832,5, 1
92736,5, 3
92544,7, 3
92352,5, 3
92160,5, 1
92160,5, 3
91968,0, 1
91968,0, 3
91584,0, 1
91392,0, 1
91296,0, 1
91200,0, 3
91008,2, 3
90816,0, 3
90624,0, 1
90624,0, 3
90432,7, 3
90048,0, 1
89856,0, 1
89760,0, 1
89664,0, 3
89472,2, 3
89280,0, 3
89088,0, 1
89088,2, 3
