Beat	0	200
Note	 71040	 71228	60
Note	 71232	 71420	65
Note	 71424	 71612	41
Note	 71616	 71804	48
Note	 71808	 71996	53
Note	 72000	 72188	58
Note	 72192	 72380	55
Note	 72384	 72572	51
Note	 72576	 72764	46
Note	 72768	 72956	53
Note	 72960	 73340	58
Note	 73344	 73532	53
Note	 73536	 73724	58
Note	 89472	 90620	42
Note	 109056	 109820	49
Note	 110016	 110204	44
Note	 110208	 110780	49
Note	 110784	 110972	49
Note	 110976	 111164	49
Note	 111168	 111356	48
Note	 111360	 112508	46
Note	 112320	 112508	41
Note	 112512	 113084	46
Note	 113088	 113276	46
Note	 113280	 113468	46
Note	 113472	 113660	46
Note	 113664	 114428	42
Note	 114624	 114812	42
Note	 114816	 115964	42
Note	 115968	 118268	41
Note	 118272	 119420	39
Note	 119424	 119804	39
Note	 119808	 120188	39
Note	 120192	 122492	46
Note	 122496	 123644	44
Note	 123648	 124796	44
Note	 124800	 129404	37
Note	 129408	 133244	37
Note	 133440	 134012	44
Note	 133440	 134012	37
Note	 134016	 135548	44
Note	 134016	 135548	37
Beat	 135548	200
