Beat	0	200
Note	 4608	 4988	70
Note	 5184	 5948	70
Note	 5952	 6140	69
Note	 6144	 6332	70
Note	 6336	 6524	72
Note	 6528	 6716	70
Note	 6720	 6908	67
Note	 6912	 7292	70
Note	 7488	 8252	70
Note	 8256	 8444	69
Note	 8448	 8636	70
Note	 8640	 8828	72
Note	 8832	 9020	70
Note	 9024	 9212	65
Note	 9216	 9596	67
Note	 9792	 10556	67
Note	 10560	 10748	63
Note	 10752	 10940	65
Note	 10944	 11132	67
Note	 11136	 11324	65
Note	 11328	 11516	63
Beat	 128636	200
