"time","item","user"
35520,7, 3
35520,7, 8
35520,7, 8
35490,7, 3
35400,11, 8
35340,9, 3
35310,7, 3
35280,9, 3
35280,2, 8
35220,2, 8
35100,2, 3
35040,4, 3
35040,4, 8
34980,2, 3
34920,2, 3
34890,11, 3
34860,11, 3
34830,11, 3
34800,11, 3
34740,0, 8
34560,7, 3
34560,7, 8
34560,7, 8
34530,7, 3
34440,11, 8
34380,9, 3
34350,7, 3
34320,9, 3
34320,2, 8
34260,2, 8
34140,2, 3
34080,4, 3
34080,4, 8
34080,7, 11
34080,7, 11
34020,2, 3
33960,2, 3
33930,11, 3
33900,11, 3
33870,11, 3
33840,11, 3
33780,0, 8
33600,7, 3
33600,7, 8
33600,7, 8
33570,7, 3
33480,11, 8
33420,9, 3
33390,7, 3
33360,9, 3
33360,2, 8
33300,2, 8
33180,2, 3
33120,4, 3
33120,4, 8
33060,2, 3
33000,2, 3
32970,11, 3
32940,11, 3
32910,11, 3
32880,11, 3
32820,0, 8
32640,7, 8
32640,7, 8
32580,2, 3
32520,6, 3
32520,11, 8
32460,4, 3
32400,2, 3
32400,2, 8
32340,11, 3
32340,2, 8
32220,2, 3
32160,4, 3
32160,4, 8
32100,4, 3
32040,6, 3
31980,6, 3
31860,7, 3
31860,0, 8
31800,7, 3
31680,7, 8
31680,7, 8
31560,11, 8
31440,2, 8
31380,2, 8
31260,2, 3
31200,4, 3
31200,4, 8
31200,7, 11
31200,7, 11
31140,2, 3
31080,2, 3
31050,11, 3
31020,11, 3
30990,11, 3
30960,11, 3
30900,0, 8
30720,7, 8
30720,7, 8
30660,2, 3
30660,7, 11
30660,7, 11
30600,6, 3
30600,11, 8
30600,11, 11
30600,11, 11
30540,4, 3
30480,2, 3
30480,2, 8
30420,11, 3
30420,2, 8
30300,2, 3
30240,4, 3
30240,4, 8
30180,4, 3
30120,6, 3
30060,6, 3
29940,7, 3
29940,0, 8
29880,7, 3
29760,7, 8
29760,7, 8
29640,11, 8
29520,2, 8
29460,2, 8
29340,7, 3
29280,7, 3
29280,4, 8
29280,7, 11
29280,7, 11
29250,7, 3
29220,7, 3
28980,7, 3
28980,0, 8
28920,7, 3
28860,7, 3
28800,7, 8
28800,7, 8
28740,9, 3
28680,11, 3
28680,11, 8
28620,9, 3
28560,7, 3
28560,2, 8
28500,7, 3
28500,2, 8
28440,9, 3
28410,9, 3
28380,9, 3
28320,11, 3
28320,4, 8
28260,7, 3
28020,2, 3
28020,0, 8
27960,11, 3
27900,11, 3
27840,7, 8
27840,7, 8
27840,7, 11
27840,7, 11
27780,9, 11
27780,9, 11
27750,7, 11
27750,7, 11
27720,11, 8
27720,9, 11
27720,9, 11
27660,4, 3
27600,2, 3
27600,2, 8
27540,11, 3
27540,2, 8
27480,2, 3
27420,2, 3
